name,isin,as_of_date
CANARA BANK LTD,INE476A01022,2026-06-30
SONA BLW PRECISION FORGINGS LTD,INE073K01018,2026-06-30
JIO FINANCIAL SERVICES LTD,INE758E01017,2026-06-30
KAYNES TECHNOLOGY INDIA LTD,INE918Z01012,2026-06-30
SYNGENE INTERNATIONAL LTD,INE398R01022,2026-06-30
SAMVARDHANA MOTHERSON INTERNATIONAL LTD,INE775A01035,2026-06-30
ASTRAL LTD,INE006I01046,2026-06-30
GODREJ CONSUMER PRODUCTS LTD,INE102D01028,2026-06-30
JSW ENERGY LTD,INE121E01018,2026-06-30
AVENUE SUPERMARTS LTD,INE192R01011,2026-06-30
PIRAMAL FINANCE LTD,INE202B01038,2026-06-30
REC LTD,INE020B01018,2026-06-30
SUZLON ENERGY LTD,INE040H01021,2026-06-30
NLC INDIA LTD,INE589A01014,2026-06-30
KPIT TECHNOLOGIES LTD,INE04I401011,2026-06-30
BOSCH LTD,INE323A01026,2026-06-30
NARAYANA HRUDAYALAYA LTD,INE410P01011,2026-06-30
ASIAN PAINT LTD,INE021A01026,2026-06-30
BIOCON LTD,INE376G01013,2026-06-30
3M INDIA LTD,INE470A01017,2026-06-30
SWIGGY LTD,INE00H001014,2026-06-30
HINDALCO INDUSTRIES LTD,INE038A01020,2026-06-30
COROMANDEL INTERNATIONAL LTD,INE169A01031,2026-06-30
LARSEN &amp; TOUBRO LTD,INE018A01030,2026-06-30
INDUS TOWERS LTD,INE121J01017,2026-06-30
TORRENT PHARMACEUTICAL LTD,INE685A01028,2026-06-30
GENERAL INSURANCE CORP OF INDIA,INE481Y01014,2026-06-30
CENTRAL BANK OF INDIA,INE483A01010,2026-06-30
INDIAN BANK,INE562A01011,2026-06-30
UNITED BREWERIES LTD,INE686F01025,2026-06-30
LLOYDS METALS &amp; ENERGY LTD,INE281B01032,2026-06-30
VISHAL MEGA MART LTD,INE01EA01019,2026-06-30
SBI CARDS AND PAYMENT SERVICES LTD,INE018E01016,2026-06-30
HITACHI ENERGY INDIA LTD,INE07Y701011,2026-06-30
VEDANTA LTD,INE205A01025,2026-06-30
BHARTI AIRTEL LTD,INE397D01024,2026-06-30
AWL AGRI BUSINESS LTD,INE699H01024,2026-06-30
BHARAT FORGE LTD,INE465A01025,2026-06-30
IDFC FIRST BANK LTD,INE092T01019,2026-06-30
EMAMI LTD,INE548C01032,2026-06-30
INDUSIND BANK LTD,INE095A01012,2026-06-30
MULTI COMMODITY EXCHANGE OF INDIA LTD,INE745G01043,2026-06-30
ASHOK LEYLAND LTD,INE208A01029,2026-06-30
NTPC LTD,INE733E01010,2026-06-30
KANSAI NEROLAC PAINTS LTD,INE531A01024,2026-06-30
NESTLE' INDIA LTD,INE239A01024,2026-06-30
BALKRISHNA INDUSTRIES LTD,INE787D01026,2026-06-30
BHARAT ELECTRONICS LTD,INE263A01024,2026-06-30
SBI LIFE INSURANCE CO LTD,INE123W01016,2026-06-30
PI INDUSTRIES LTD,INE603J01030,2026-06-30
PATANJALI FOODS LTD,INE619A01035,2026-06-30
DIXON TECHNOLOGIES (INDIA) LTD,INE935N01020,2026-06-30
ORACLE FINANCIAL SERVICES SOFTWARE LTD,INE881D01027,2026-06-30
KOTAK MAHINDRA BANK LTD,INE237A01036,2026-06-30
HINDUSTAN ZINC LTD,INE267A01025,2026-06-30
FEDERAL BANK LTD (THE),INE171A01029,2026-06-30
HONEYWELL AUTOMATION INDIA LTD,INE671A01010,2026-06-30
CIPLA LTD,INE059A01026,2026-06-30
AUROBINDO PHARMA LTD,INE406A01037,2026-06-30
DEEPAK NITRITE LTD,INE288B01029,2026-06-30
INTERGLOBE AVIATION LTD,INE646L01027,2026-06-30
ETERNAL LTD,INE758T01015,2026-06-30
LAURUS LABS LTD,INE947Q01028,2026-06-30
SRF LTD,INE647A01010,2026-06-30
INDIAN OVERSEAS BANK LTD,INE565A01014,2026-06-30
IDBI BANK LTD,INE008A01015,2026-06-30
